1473829200000,335932,33796,23045,35706
1474096500000,335952,34121,23217,36047
1474613340000,336320,34725,23548,36729
1476807576027,339855,37188,24987,39577
1477392946672,341435,37829,25388,40336
1477478036270,341725,37929,25453,40452
1477906056993,343130,38446,25751,41012
1478067870425,343660,38616,25873,41181
1479880535754,350285,40834,27257,43692
1480325046007,351946,41401,27568,44362
1480499245576,352902,41610,27701,44593
1481652298395,358803,43146,28632,46342
1481794832554,359547,43312,28783,46535
1482318527170,362035,43971,29183,47321
1482929399681,364368,44742,29617,48238
1483548519121,366510,45418,30008,49129
1483686813427,367266,45576,30135,49291
1483713034236,367507,45582,30135,49404
1483947377420,369225,45920,30363,49738
1484571405464,372542,46728,30855,50795
1485152144810,375293,47470,31305,51598
1485859602082,379169,48379,31894,52621
1487318458520,387267,50501,33196,54840
1488262623619,390846,51659,33949,56164
1488886017318,392876,52467,34436,57124
1489142592999,393616,52810,34646,57541
1490799261807,398230,54731,35946,59796
1490954006723,398850,54937,36086,59976
1491739165499,400625,55918,36695,61185
1492326512557,401950,56650,37160,61923
1492860398327,403508,57294,37572,62623
1493222132370,404206,36021,29767,43690
1495097086812,405692,59472,39228,65077
1497799142474,405692,61472,40991,67554
1500655560609,405692,63354,42958,69978
